inventory_id,product_id,warehouse_location,stock_quantity,reorder_level,last_restock_date
67,67,A5,871,156,2026-06-11
68,68,A7,1827,328,2025-02-05
69,69,D5,2,5,2026-07-08
70,70,C10,127,22,2026-07-30
71,71,A8,1818,327,2025-07-01
72,72,A6,191,34,2024-11-06
73,73,C1,1906,343,2024-10-05
74,74,D4,0,27,2025-07-20
75,75,A1,787,141,2025-09-13
76,76,B5,27,5,2025-02-12
77,77,B1 ,1504,270,2024-09-16
78,78,A11,1320,237,2024-11-21
79,79,B1,113,20,2025-01-05
80,80, B6 ,1916,344,2025-03-22
81,81,A4,141,25,2025-06-14
82,82,B10,512,92,2025-12-26
83,83,C3,169,30,2026-03-07
84,84,B3,173,31,2025-04-15
85,85,B5,0,10,2026-06-24
86,86,C6,1035,186,2024-12-27
87,87,A9,0,14,2025-03-06
88,88,B3,1,5,2024-11-03
89,89,C1,715,128,2025-12-06
90,90,A7,33,5,2024-12-17
91,91,D10,1922,345,2025-12-13
92,92,D8,1982,356,2024-10-18
93,93,D9,521,93,2024-12-11
94,94,A11,1,5,2025-08-25
95,95,B6,1287,231,2026-02-21
96,96,C3,164,29,2024-11-22
97,97,A8,116,20,2024-12-20
98,98,B11,1,5,2025-11-10
99,99,B9,151,27,2026-03-06
100,100,D2,122,21,2025-10-23
101,101,D8,146,26,2025-11-23
102,102,D7,864,155,2026-08-06
103,103,C5,1494,268,2026-03-07
104,104,C3,3,5,2025-07-23
105,105,C10,2,5,2024-11-19
106,106,D4,1572,282,2026-05-12
107,107,D11,0,11,2026-03-29
108,108,A7,1853,333,2025-06-16
109,109,B11,1,5,2026-03-17
110,110,D5,139,25,2026-01-13
111,111,D11,160,28,2024-12-26
112,112,C7,3,5,2024-12-28
113,113,A9,1868,336,2026-03-09
114,114,C10,52,9,2025-10-08
115,115,B8,44,7,2025-07-05
116,116,A8,1069,192,2025-05-30
117,117,A6,1536,276,2025-12-14
118,118,B3,2,5,2025-05-19
119,119,C3,0,15,2024-09-21
120,120,A5,58,10,2025-03-09
121,121, B7 ,1501,270,2026-05-05
122,122,D11,190,34,2025-05-31
123,123,D2,84,15,2024-10-29
124,124,C11,842,151,2026-01-19
125,125,D6,148,26,2025-02-10
126,126,B1,609,109,2024-10-15
127,127,D2,651,117,2026-03-02
128,128,C4,3,5,2024-09-17
129,129,D4,-2,5,2024-11-07
130,130,B1,2,5,2024-12-27
131,131,D11,65,11,2025-12-09
132,132,D8,79,14,2024-11-14
133,133,C9,1167,210,2025-12-04
134,134,B3,133,23,2025-03-12
135,135,B1,509,91,2025-09-30
136,136,C12,802,144,2026-03-07
137,137,B10,114,20,2025-06-26
138,138,B11,139,25,2024-11-25
139,139,D4,47,8,2024-11-16
140,140,C1,154,27,2025-05-22
141,141,B12,57,10,2024-11-06
142,142,B9,1799,323,2025-11-27
143,143,A7,1826,328,2025-11-02
144,144,D11,2,5,2025-12-08
145,145,A4,85,15,2025-11-25
146,146,A4,150,27,2025-04-29
147,147,B8,198,35,2025-11-01
148,148,C10 ,1845,332,2026-05-03
149,149,C4,196,35,2024-10-24
150,150,B11,0,15,2024-11-07
151,151,D10,1,5,2026-08-06
152,152,A12,131,23,2026-02-22
153,153,A5,1614,290,2024-10-01
154,154,A3,11,5,2026-06-29
155,155,C6,86,15,2026-06-10
156,156,A4,20,5,2025-12-27
157,157,C1,123,22,2026-06-19
158,158,B5,2,5,2025-04-16
159,159,D2,81,14,2025-05-15
160,160,C6,1184,213,2025-06-09
161,161,A4,1521,273,2026-06-28
162,162,D2,1936,348,2026-06-30
163,163,C2,95,17,2025-11-28
164,164,C6,1028,185,2026-05-31
165,165,C11,711,127,2026-04-15
166,166,C1 ,1111,199,2025-06-23
167,167,A5,1,5,2025-12-23
168,168,A4,2,5,2024-12-18
169,169,B8,103,18,2024-11-17
170,170,B2,970,174,2025-12-10
171,171,C1,1832,329,2025-06-13
172,172,A6,2,5,2025-12-22
173,173,C8,21,5,2026-03-09
174,174,B6,104,18,2025-06-05
175,175,D11,71,12,2026-07-12
176,176,B9,1,5,2026-06-03
177,177,A6,2,5,2024-11-24
178,178,D4,1059,190,2024-11-16
179,179,B8,159,28,2024-11-07
180,180,D7,2,5,2025-09-21
181,181,B5,117,21,2025-07-20
182,182,B2,945,170,2026-05-15
183,183,B4,2,5,2025-05-20
184,184,A12,0,19,2025-07-07
185,185,D7,555,99,2026-05-17
186,186,C5,1829,329,2025-10-31
187,187,A6,1679,302,2025-11-23
188,188,D9,0,19,2024-11-05
189,189,A1,75,13,2024-09-20
190,190,B12,38,6,2026-03-27
191,191,C4,745,134,2025-03-07
192,192,C11,0,16,2025-09-22
193,193,D10,1,5,2026-04-29
194,194,D6,805,144,2025-05-11
195,195,B3,2,5,2026-06-24
196,196,D10,1,5,2025-12-27
197,197,A8,27,5,2024-10-18
198,198,D10,0,10,2024-11-14
199,199,B6,722,129,2026-03-09
200,200,D2,904,162,2026-08-06
201,201,A4,597,107,2024-12-25
202,202,A2,112,20,2025-10-06
203,203,D9,1,5,2025-06-29
204,204,D9,2,5,2025-04-30
205,205,D11,0,25,2026-01-02
206,206,A12,119,21,2024-09-09
207,207, B11 ,1381,248,2025-12-21
208,208,A7 ,1493,268,2024-11-03
209,209,A4,172,30,2025-05-17
210,210,A7,0,28,2025-05-02
211,211,A11,72,12,2025-03-23
212,212,A5,529,95,2026-07-28
213,213,A2,121,21,2025-11-07
214,214,D5,139,25,2025-05-19
215,215,C9,1263,227,2024-11-05
216,216,C11,183,32,2024-11-09
217,217,D5,77,13,2025-12-05
218,218,D6 ,0,15,2024-12-08
219,219,B9,102,18,2025-12-20
220,220,C1,0,18,2026-07-14
221,221,A12,2,5,2026-01-31
222,222,D3,960,172,2025-07-14
223,223,C12,1292,232,2025-11-22
224,224,D1,1,5,2024-11-25
225,225,A12,685,123,2025-05-22
226,226,B10,1339,241,2025-09-07
227,227,D12,596,107,2025-04-12
228,228,A6,863,155,2025-10-09
229,229,B1,766,137,2024-12-07
230,230,C9,1452,261,2026-03-08
231,231,D7,1353,243,2025-05-12
232,232,A6,1445,260,2024-12-13
233,233,D1,802,144,2025-08-02
234,234,A2,97,17,2025-11-17
235,235,C8,719,129,2025-09-06
236,236,C11,185,33,2024-10-18
237,237,B6,2,5,2025-04-15
238,238,A11,1,5,2024-12-16
239,239,A5,180,32,2026-03-14
240,240,A10,674,121,2026-07-06
241,241,A2,170,30,2025-12-03
242,242,A8,3,5,2026-06-23
243,243,C11,1081,194,2026-03-19
244,244,B9,988,177,2024-10-19
245,245,D4,17,5,2026-04-21
246,246,B1,1910,343,2025-12-06
247,247,A6,2,5,2025-02-11
248,248,D3,1579,284,2025-03-23
249,249,D10,1245,224,2026-02-05
250,250,D11,629,113,2026-06-08
251,251,D6,561,100,2024-12-07
252,252,A4,0,27,2026-02-01
253,253,D11,2,5,2026-01-16
254,254,D9,64,11,2026-03-16
255,255,D7,0,25,2025-08-30
256,256,A1,120,21,2024-09-06
257,257,A10,27,5,2024-11-12
258,258,C10,1999,359,2025-06-25
259,259,D1 ,3,5,2025-12-04
260,260,A1,1364,245,2026-04-04
261,261,D12,1333,239,2026-03-09
262,262,D3,1938,348,2025-12-31
263,263,D5,1,5,2026-04-13
264,264,A3,1272,228,2025-10-02
265,265,B8,1456,262,2024-09-17
266,266,D11,3,5,2025-11-04
267,267,B10,1328,239,2026-04-21
268,268,D9,1787,321,2025-09-10
269,269, D4 ,97,17,2025-11-29
270,270,A2,1690,304,2026-05-12
271,271,B10,690,124,2026-05-24
272,272,C2,2,5,2026-01-13
273,273,B9,125,22,2025-02-02
274,274,B10,1,5,2024-11-23
275,275,A1,1104,198,2025-02-28
276,276,C2,-2,5,2026-08-06
277,277,C12,175,31,2025-09-10
278,278,D3,0,22,2026-03-05
279,279,A4,844,151,2025-02-12
280,280,D10,19,5,2026-04-11
281,281,B12,1032,185,2025-03-10
282,282,C2,1927,346,2026-07-09
283,283,A10,2,5,2025-10-08
284,284,A12,182,32,2026-05-03
285,285,C6,2,5,2024-09-09
286,286,C9,34,6,2025-04-24
287,287,B4,71,12,2025-05-02
288,288,C9,1560,280,2025-12-16
289,289,D12 ,181,32,2025-10-29
290,290,D9,3,5,2025-12-03
291,291,A12,729,131,2025-06-13
292,292,C1,2,5,2025-02-15
293,293,B6,36,6,2026-07-11
294,294,D9,1693,304,2024-12-30
295,295,D6,3,5,2026-04-02
296,296,A3,151,27,2026-05-24
297,297,D4,731,131,2025-02-17
298,298,D9,26,5,2025-11-16
299,299,C6,1380,248,2026-01-24
300,300, B4 ,108,19,2026-05-08
301,301,A10,2,5,2026-04-18
302,302,B8,198,35,2026-03-07
303,303,C7,608,109,2024-10-17
304,304,D7,180,32,2026-08-01
305,305,A12,1596,287,2025-09-10
306,306,A11,849,152,2025-03-07
307,307,D1,763,137,2024-12-20
308,308,C7,1565,281,2026-07-14
309,309,D2,1743,313,2024-10-24
310,310,B11,140,25,2026-06-16
311,311,D4,974,175,2024-12-25
312,312,D3,33,5,2026-08-06
313,313,C4,3,5,2024-10-10
314,314,A10,85,15,2024-11-08
315,315,D6,29,5,2024-09-01
316,316, B5 ,0,12,2024-09-21
317,317,A9,1689,304,2026-06-04
318,318,A5 ,2,5,2026-02-19
319,319,B1,970,174,2026-05-26
320,320,A6,1778,320,2024-09-05
321,321,D11,0,17,2024-10-06
322,322,C7,1666,299,2026-08-06
323,323,D1,1378,248,2025-08-01
324,324,D2,30,5,2024-11-29
325,325,D12,1505,270,2025-07-19
326,326,C9,172,30,2024-11-23
327,327,A4,512,92,2026-08-06
328,328,C9,3,5,2025-12-06
329,329,D11,2,5,2024-12-19
330,330,D6,164,29,2025-10-11
331,331,D3,2,5,2025-12-20
332,332,D4,1900,342,2026-01-12
333,333,B2 ,828,149,2025-03-01
334,334, B9 ,12,5,2024-10-29
335,335,A7,126,22,2026-05-05
336,336,A6,185,33,2026-06-05
337,337,D11,992,178,2025-10-29
338,338,A9,45,8,2026-05-01
339,339,D7,1,5,2025-10-30
340,340,A2,2,5,2025-02-25
341,341,B11,2,5,2025-11-24
342,342,C1,804,144,2025-10-20
343,343,D11 ,0,25,2026-05-23
344,344,C8,1280,230,2026-06-18
345,345,B3,92,16,2025-06-01
346,346,A4,87,15,2024-12-20
347,347,A9,57,10,2026-03-21
348,348,B7,668,120,2025-01-31
349,349,C5,144,25,2025-11-28
350,350,C11,2,5,2025-12-27
351,351,C8,140,25,2026-04-26
352,352,A11,167,30,2024-12-20
353,353,B8,2,5,2026-04-27
354,354,B4,-2,20,2025-09-18
355,355,B6 ,1,5,2025-09-02
356,356,C2,13,5,2026-06-26
357,357,B6,0,18,2025-05-10
358,358,A12,2,5,2024-09-08
359,359,B7,1145,206,2025-02-11
360,360,B1,133,23,2026-02-25
361,361,B10,128,23,2026-04-26
362,362,C4,22,5,2025-09-21
363,363,A8,1478,266,2025-07-05
364,364,C6,936,168,2025-04-16
365,365,D10,199,35,2026-04-17
366,366,A2,732,131,2025-06-30
367,367,B6,1,5,2025-02-13
368,368,D6,1852,333,2025-12-11
369,369,B2,1256,226,2025-09-11
370,370,C10,166,29,2024-10-22
371,371,D12,140,25,2025-12-12
372,372,D7,783,140,2025-06-07
373,373,A9,775,139,2026-04-17
374,374,D5,168,30,2026-07-23
375,375,B6,-2,22,2026-07-19
376,376,B12,66,11,2026-08-06
377,377,B4,120,21,2026-04-27
378,378,B9,3,5,2025-05-16
379,379,C7,93,16,2025-02-07
380,380,C2,170,30,2024-12-13
381,381,D2,57,10,2026-01-18
382,382,B8,832,149,2025-11-09
383,383,C12,1328,239,2025-10-01
384,384,A10,3,5,2025-06-24
385,385,C3 ,123,22,2026-02-20
386,386, A2 ,77,13,2025-05-17
387,387,A7,193,34,2025-07-03
388,388,C5,63,11,2025-04-03
389,389,A4,1,5,2025-07-13
390,390,C1,120,21,2024-11-07
391,391,C8,1808,325,2026-06-20
392,392, C5 ,193,34,2026-02-20
393,393,C11,2,5,2025-10-31
394,394,A9,2,5,2026-05-01
395,395,B5,140,25,2024-11-17
396,396,C10,1980,356,2024-11-14
397,397,B8,1040,187,2026-02-13
398,398,A11,71,12,2025-05-31
399,399,D3,19,5,2026-02-02
400,400,A4,154,27,2026-03-03
401,401,C10,145,26,2026-06-05
402,402,D1,1453,261,2025-03-21
403,403,D11,1505,270,2024-10-13
404,404,A7,0,28,2025-08-04
405,405,D7,798,143,2024-10-20
406,406,B7,0,16,2025-09-05
407,407,B7,1732,311,2026-05-05
408,408,B4,1264,227,2025-09-16
409,409,D10,1838,330,2024-12-23
410,410,D9,2,5,2025-01-18
411,411,B9,1190,214,2026-05-17
412,412,B12,192,34,2026-04-29
413,413,D8,93,16,2025-07-19
414,414,C9,65,11,2026-02-15
415,415,A8,79,14,2024-09-21
416,416,D5,1,5,2026-05-20
417,417,D6,830,149,2024-12-29
418,418,C10,1180,212,2025-01-01
419,419,D1,911,163,2025-10-09
420,420,D5 ,1997,359,2025-07-08
421,421,A2,2,5,2024-11-17
422,422,D11,2,5,2025-12-30
423,423,B10,881,158,2025-10-04
424,424,D7,1910,343,2026-06-04
425,425,D4,3,5,2026-07-04
426,426,C1,3,5,2025-05-29
427,427,A6,1250,225,2025-05-24
428,428,D12,18,5,2026-04-20
429,429,D3,156,28,2024-11-08
430,430,B8,70,12,2024-09-25
431,431,C6,1274,229,2024-09-15
432,432,B9,121,21,2026-07-03
433,433,D11,3,5,2025-06-27
434,434,B9,116,20,2025-11-07
435,435,C9,1,5,2024-11-26
436,436,A4,1245,224,2024-10-13
437,437,A7,555,99,2026-05-19
438,438,D10,1467,264,2026-01-26
439,439,C1,0,16,2026-02-23
440,440,B8,193,34,2025-07-20
441,441,A6,195,35,2025-11-24
442,442,B2,0,18,2025-11-08
443,443,D12,688,123,2026-08-06
444,444,B2,1290,232,2025-07-19
445,445,B8,1121,201,2025-05-23
446,446,A6,1108,199,2025-12-04
447,447,A12,571,102,2025-12-21
448,448,D3,1628,293,2025-11-25
449,449,C11,61,10,2025-05-29
450,450,B6,120,21,2025-07-31
451,451,C7,2,5,2025-02-12
452,452,C8,1801,324,2025-01-07
453,453, D7 ,835,150,2026-04-21
454,454,B3,1388,249,2024-12-25
455,455,A6,17,5,2026-04-09
456,456,B12,3,5,2024-12-09
457,457,D8,0,26,2025-10-29
458,458,B6,165,29,2025-08-23
459,459,A2,70,12,2026-02-22
460,460,A12,618,111,2026-05-14
461,461,A10,27,5,2025-02-07
462,462,B8,1498,269,2025-07-19
463,463,C4,113,20,2024-12-05
464,464,C7,173,31,2025-04-02
465,465,B8,80,14,2025-02-20
466,466,C8,1352,243,2026-07-20
467,467,A9,1095,197,2025-06-19
468,468,D1,679,122,2025-02-19
469,469,B6,103,18,2024-11-26
470,470,D12,1359,244,2025-04-16
471,471,D1,3,5,2026-05-01
472,472,C6,1139,205,2025-12-17
473,473,D5,1,5,2024-11-16
474,474,D1,1295,233,2024-09-06
475,475,A6,1458,262,2025-11-05
476,476,B9,114,20,2026-07-02
477,477,C12,1818,327,2025-03-20
478,478,D3,0,25,2025-05-31
479,479,B10,109,19,2026-03-21
480,480,A11,1309,235,2025-05-20
481,481,B6,1713,308,2025-09-17
482,482,B12,2,5,2024-09-21
483,483,D9,0,20,2025-12-23
484,484,C11,1686,303,2024-09-15
485,485,B10 ,585,105,2025-05-13
486,486,B12,144,25,2024-11-08
487,487,D7,945,170,2024-10-10
488,488,A3,1091,196,2024-09-09
489,489, C2 ,644,115,2024-09-10
490,490,C4,88,15,2025-11-16
491,491,D4,81,14,2024-09-26
492,492,D8,1281,230,2024-10-23
493,493,D1 ,1546,278,2025-06-05
494,494,D9,1,5,2025-06-19
495,495,D9,1635,294,2025-02-08
496,496,A10,197,35,2025-12-15
497,497,B9,1161,208,2024-10-17
498,498,C4,148,26,2025-03-09
499,499,C10,1241,223,2025-12-07
500,500,D10,825,148,2024-11-24
501,501,A7,31,5,2025-12-14
502,502,A8,0,14,2024-09-04
503,503,A9,1472,264,2025-12-02
504,504,A9,594,106,2026-03-05
505,505,A4,64,11,2025-12-07
506,506, A7 ,1818,327,2026-02-26
507,507,C3,117,21,2026-04-27
508,508,A11,1,5,2025-07-14
509,509,A7,1183,212,2025-05-04
510,510,B3,3,5,2025-12-20
511,511,A10,910,163,2025-10-18
512,512,D5,152,27,2025-12-01
513,513,D3,573,103,2026-03-22
514,514,A9,45,8,2024-09-22
515,515,D2,159,28,2025-11-12
516,516,A12,35,6,2025-11-07
517,517,C10,36,6,2026-02-11
518,518,C12,0,12,2026-05-15
519,519,B11 ,1042,187,2025-01-29
520,520,B10,1159,208,2026-05-25
521,521,B11,197,35,2026-02-01
522,522,B3,118,21,2025-01-30
523,523, C2 ,2,5,2025-11-01
524,524,C1,2,5,2025-12-07
525,525,A5,1,5,2025-04-04
526,526, D1 ,2,5,2025-05-10
527,527,A7,196,35,2024-11-27
528,528,C10,1539,277,2025-09-27
529,529,D3,1212,218,2026-08-06
530,530,C3,0,26,2024-10-29
531,531,C3,0,30,2025-11-14
532,532,C9,2,5,2024-09-18
533,533,D9,1548,278,2024-10-28
534,534,C9,1601,288,2025-11-30
535,535,B5,1455,261,2025-12-02
536,536,C7,1048,188,2025-11-12
537,537,A10,13,5,2025-09-03
538,538,A7,1826,328,2026-02-01
539,539,C9,1077,193,2024-12-25
540,540,D1,1972,354,2026-06-11
541,541,C11,656,118,2025-12-26
542,542,B5,833,149,2026-02-26
543,543,C8,182,32,2024-10-21
544,544,A12,886,159,2025-10-27
545,545,B7,918,165,2025-09-08
546,546,A12,64,11,2026-04-07
547,547,A6,2,5,2026-03-04
548,548,C3,1,5,2025-04-22
549,549,C8,1462,263,2024-11-06
550,550,C3,1057,190,2025-02-22
551,551,B9,1634,294,2026-05-23
552,552,D6 ,57,10,2025-05-21
553,553,B2,2,5,2026-06-01
554,554,B1,27,5,2025-05-15
555,555,C12,1,5,2026-08-06
556,556,C11,193,34,2025-03-23
557,557,C9,3,5,2025-06-19
558,558,D7,1274,229,2025-03-14
559,559,B2,28,5,2026-08-06
560,560,C12,83,14,2025-06-02
561,561,A8,1871,336,2026-03-22
562,562,D4,2,5,2024-11-21
563,563,A9,1252,225,2024-11-08
564,564,C5,60,10,2026-05-17
565,565,D2,133,23,2025-05-17
566,566,C8,157,28,2025-12-28
567,567,A10,505,90,2025-06-01
568,568,B8,1787,321,2026-03-28
569,569,C8 ,3,5,2025-11-30
570,570,C8,2,5,2025-12-25
571,571,A4,20,5,2026-02-17
572,572,B1,3,5,2024-12-31
573,573,A11,3,5,2025-04-22
574,574,B5,10,5,2025-03-27
575,575,C11,1827,328,2025-11-10
576,576,D7,1521,273,2024-10-19
577,577,A6,886,159,2024-11-08
578,578,A11,138,24,2024-09-20
579,579,A9,1254,225,2025-05-18
580,580,D11,37,6,2025-06-24
581,581,D2,1443,259,2024-12-29
582,582,A1,1061,190,2024-12-22
583,583,C10,512,92,2025-06-19
584,584,D8,182,32,2025-02-05
585,585,C7,-2,5,2024-10-17
586,586,A6,797,143,2026-06-04
587,587,D1,1037,186,2026-05-10
588,588,B5,630,113,2024-10-16
589,589, B3 ,1323,238,2024-12-02
590,590,A6,0,29,2025-12-01
591,591,B12,0,26,2024-10-02
592,592,C9,126,22,2026-06-08
593,593,B4 ,2,5,2024-09-23
594,594,D8,153,27,2025-09-16
595,595,D8,108,19,2025-05-06
596,596,D8,174,31,2025-08-05
597,597,B9,1857,334,2026-01-08
598,598, C11 ,58,10,2024-09-26
599,599,D6,756,136,2025-11-03
600,600,D8,804,144,2026-04-26
601,601,C4,1,5,2025-12-15
602,602,C3,549,98,2025-05-24
603,603, A8 ,1182,212,2024-12-01
604,604,B3,164,29,2025-12-30
605,605,B7 ,1402,252,2025-04-14
606,606,D8,144,25,2026-03-19
607,607,C5,1111,199,2024-09-03
608,608,B11,149,26,2024-09-17
609,609,D4,188,33,2025-08-10
610,610,A4,101,18,2024-11-30
611,611,B10,1076,193,2026-04-01
612,612,D11,0,16,2024-11-29
613,613, B2 ,82,14,2026-07-22
614,614,D2,1517,273,2025-03-31
615,615,C4,153,27,2026-05-17
616,616,B7,1,5,2025-02-03
617,617,D2,3,5,2025-06-14
618,618,C12,56,10,2024-12-21
619,619,D9,1595,287,2024-10-31
620,620,B5,1124,202,2025-11-02
621,621,A3,1278,230,2026-03-12
622,622,A5,1988,357,2026-01-18
623,623,C11,61,10,2026-07-18
624,624,C11,833,149,2026-06-01
625,625,B5,34,6,2024-11-08
626,626,D5,2,5,2025-11-04
627,627,B7,3,5,2025-07-10
628,628,C2,179,32,2024-12-18
629,629,B10,173,31,2026-02-25
630,630,A11,876,157,2025-08-09
631,631,D8,83,14,2025-12-16
632,632,A10,134,24,2024-10-10
633,633,B12,153,27,2024-11-26
634,634,A2,189,34,2025-06-06
635,635,D3,123,22,2024-09-14
636,636,C7,152,27,2024-12-12
637,637,A4,149,26,2026-04-26
638,638,C5,1,5,2025-07-26
639,639,B5,22,5,2025-12-13
640,640,D9,92,16,2024-12-19
641,641,C10,3,5,2025-05-03
642,642,C6,146,26,2026-03-03
643,643, C6 ,0,12,2024-10-15
644,644,D2,193,34,2025-03-17
645,645,C1,153,27,2025-09-28
646,646,D2,161,28,2025-11-04
647,647,B11,109,19,2024-11-01
648,648,C10,1,5,2026-06-17
649,649,C1,1221,219,2026-01-12
650,650,B1,133,23,2024-10-25
651,651,C11,37,6,2025-07-13
652,652,D10,34,6,2026-05-14
653,653,C5,68,12,2026-05-26
654,654,C3,39,7,2026-05-18
655,655,B11,1064,191,2024-11-09
656,656,B12,1765,317,2025-09-10
657,657,C3,1831,329,2025-07-23
658,658,A11,705,126,2025-06-10
659,659,D2,3,5,2025-05-29
660,660,D3,3,5,2026-04-03
661,661,A7,1,5,2026-03-27
662,662,B6,136,24,2024-12-14
663,663,A5,1263,227,2026-03-31
664,664,A3,962,173,2025-12-06
665,665,C6,1347,242,2024-10-03
666,666,B11,159,28,2024-11-22
667,667,B11,0,14,2026-07-08
668,668,A10,1,5,2025-09-07
669,669,B11,36,6,2026-08-06
670,670,C6,109,19,2026-07-23
671,671,D9,90,16,2026-02-19
672,672,D11,1455,261,2025-03-16
673,673,A2,106,19,2024-12-17
674,674,D10,0,18,2024-09-28
675,675,C11,1798,323,2024-11-12
676,676,B12,548,98,2026-05-10
677,677,B10,92,16,2025-12-22
678,678,B5,2,5,2026-04-16
679,679,B7,1240,223,2026-04-12
680,680,C11,134,24,2026-07-25
681,681,D3,1696,305,2025-12-01
682,682,C2,3,5,2025-10-30
683,683,A1,1662,299,2025-11-29
684,684,D8,1,5,2025-12-25
685,685,A2,2,5,2025-07-13
686,686,C5,951,171,2025-12-05
687,687,B7,71,12,2025-11-26
688,688,A8,816,146,2024-12-31
689,689,A10,141,25,2024-11-05
690,690,A5,1813,326,2024-12-26
691,691,B7,1348,242,2026-02-01
692,692,B9,168,30,2025-02-07
693,693,A5,2,5,2026-04-05
694,694,C8,1,5,2025-03-29
695,695,D1,501,90,2025-11-13
696,696,A10,112,20,2026-05-05
697,697,B11,1170,210,2026-04-29
698,698,B6,57,10,2026-04-12
699,699,D6,24,5,2026-03-17
700,700,C10 ,36,6,2025-12-17
701,701,D2,140,25,2025-12-20
702,702,B6,972,174,2026-07-09
703,703,A3,1,5,2026-02-17
704,704,A9,1340,241,2024-11-25
705,705,D2,1837,330,2025-01-06
706,706,B5,93,16,2025-04-28
707,707,A4,0,14,2024-11-11
708,708,A10,166,29,2026-05-10
709,709, D9 ,114,20,2025-06-12
710,710,C2,54,9,2025-06-29
711,711,D3,131,23,2025-06-02
712,712,C3,148,26,2025-07-20
713,713,B5,835,150,2024-12-04
714,714,C12,618,111,2026-01-16
715,715,C5,831,149,2026-05-29
716,716,D10,515,92,2025-12-30
717,717,D3,1413,254,2025-02-04
718,718,B4,162,29,2024-09-27
719,719,C12,39,7,2024-11-29
720,720,D11,1513,272,2025-12-09
721,721,B8,1509,271,2026-02-20
722,722,D12,3,5,2025-08-31
723,723,A9,1120,201,2024-09-02
724,724,B2,2,5,2025-08-30
725,725,D9,1697,305,2026-05-04
726,726,D2,3,5,2024-11-24
727,727,D2,82,14,2026-06-08
728,728,D9,1764,317,2026-07-01
729,729,D12,2,5,2025-12-27
730,730,C10,41,7,2024-10-24
731,731,C11,978,176,2025-04-07
732,732,B3,158,28,2026-04-08
733,733,A12,49,8,2025-12-28
734,734,A11 ,150,27,2025-08-21
735,735,D5,18,5,2024-12-07
736,736,A5,3,5,2025-08-06
737,737,C11,3,5,2024-11-10
738,738,B3,656,118,2025-11-23
739,739,A1,74,13,2026-02-12
740,740,D12,1384,249,2025-11-08
741,741,B7,3,5,2024-09-16
742,742,B2,36,6,2025-12-03
743,743,B5,122,21,2025-08-21
744,744,C8,752,135,2025-06-16
745,745,B5,644,115,2025-03-12
746,746,C9 ,177,31,2024-11-24
747,747,B3,-2,24,2025-10-02
748,748,A8,1,5,2026-04-15
749,749,A8,3,5,2026-08-02
750,750,C5,31,5,2025-11-25
751,751,B12,1363,245,2025-03-03
752,752,C5,1,5,2025-06-16
753,753,D2,70,12,2025-12-24
754,754,C7,600,108,2025-08-11
755,755,D1,117,21,2025-09-13
756,756,D12,1796,323,2024-11-03
757,757,C1,0,12,2025-09-26
